Material Number;Material Description;Material Group;Unit;Criticality;ABC Class;XYZ Class;Vendor Type;Currency;Lead Time_Days;MOQ;Sales Price;Purchase Price;Holding Cost Rate/day;Holding Cost/day (IDR);Lost Sale Rate/Each;Penalty/unit (IDR);Logistic Cost/Order
100004821;HYDRAULIC PUMP ASSY - CAT 740B;Spare Part;EA;High;A;Z;Import;USD;63;1;47549019;47549019;0.0005;23774.51;0.3;14264706;50000
100004822;FINAL DRIVE MOTOR - KOMATSU PC400;Spare Part;EA;High;A;Z;Import;USD;78;1;36470588;36470588;0.0005;18235.29;0.3;10941176;50000
100004823;SWING BEARING ASSY - HITACHI EX500;Spare Part;EA;High;A;Z;Import;USD;93;1;62100000;62100000;0.0005;31050;0.3;18630000;50000
100004824;ENGINE OVERHAUL KIT - CUMMINS QSK19;Spare Part;SET;High;A;Z;Import;USD;65;1;93137254;93137254;0.0005;46568.63;0.3;27941176;50000
100004825;TORQUE CONVERTER ASSY - ALLISON 4700;Spare Part;EA;High;A;Z;Import;USD;78;1;53235294;53235294;0.0005;26617.65;0.3;15970588;50000
100004826;AIR COMPRESSOR UNIT - 200 BAR;Spare Part;EA;High;A;Y;Import;USD;48;1;28700000;28700000;0.0005;14350;0.3;8610000;50000
100005101;HYDRAULIC CYLINDER SEAL KIT - 80MM;Spare Part;SET;Medium;B;Y;Local;IDR;23;1;875000;875000;0.0005;437.5;0.3;262500;50000
100005102;FILTER ASSY HYDRAULIC - PARKER 25MIC;Spare Part;EA;Medium;B;X;Local;IDR;15;2;450000;450000;0.0005;225;0.3;135000;50000
100005103;BEARING SPHERICAL ROLLER 22328 CCK/C3;Spare Part;EA;Medium;B;Y;Import;USD;32;1;1225490;1225490;0.0005;612.75;0.3;367647;50000
100005104;BEARING TAPER ROLLER 32220 J2/QCL7C;Spare Part;EA;Medium;B;Y;Import;USD;32;1;966201;966201;0.0005;483.1;0.3;289860;50000
100005105;V-BELT CLASSICAL TYPE B-82 (SET 5);Spare Part;SET;Medium;C;X;Local;IDR;11;4;317536;317536;0.0005;158.77;0.3;95261;50000
100005106;RADIATOR HOSE UPPER - CAT D10R;Spare Part;EA;Medium;C;X;Local;IDR;15;4;274319;274319;0.0005;137.16;0.3;82296;50000
100005107;ALTERNATOR ASSY 24V 100A - BOSCH;Spare Part;EA;Medium;B;Z;Import;USD;37;1;3676470;3676470;0.0005;1838.24;0.3;1102941;50000
100005108;AIR FILTER PRIMARY - DONALDSON P181059;Spare Part;EA;Medium;C;X;Local;IDR;8;3;385000;385000;0.0005;192.5;0.3;115500;50000
100005109;FUEL FILTER SECONDARY - FLEETGUARD FS1000;Spare Part;EA;Medium;C;X;Local;IDR;8;3;210000;210000;0.0005;105;0.3;63000;50000
100005110;OIL FILTER SPIN-ON - BALDWIN B7600;Spare Part;EA;Medium;C;X;Local;IDR;8;2;183266;183266;0.0005;91.63;0.3;54980;50000
100005111;STARTER MOTOR 24V - MITSUBISHI M008T60071;Spare Part;EA;Medium;B;Z;Import;USD;42;2;5098039;5098039;0.0005;2549.02;0.3;1529412;50000
100005112;WATER PUMP ASSY - KOMATSU 6152-61-1102;Spare Part;EA;Medium;B;Z;Import;USD;47;1;4019607;4019607;0.0005;2009.8;0.3;1205882;50000
100005201;BOLT HEX M16x50 GR8.8 GALV;MRO Supply;EA;Low;C;X;Local;IDR;6;4;4418;4418;0.0005;2.21;0.3;1325;50000
100005202;NUT HEX M16 GR8 GALV;MRO Supply;EA;Low;C;X;Local;IDR;6;2;2474;2474;0.0005;1.24;0.3;742;50000
100005203;GASKET SHEET KLINGERIT 1.5MM 1000x1000;MRO Supply;EA;Low;C;Y;Local;IDR;8;2;183531;183531;0.0005;91.77;0.3;55059;50000
100005204;O-RING NBR 50x3 (BAG 10);MRO Supply;BAG;Low;C;X;Local;IDR;6;5;44225;44225;0.0005;22.11;0.3;13268;50000
100005205;CABLE TIE 200MM UV RESISTANT (PKT 100);MRO Supply;PKT;Low;C;X;Local;IDR;4;2;28321;28321;0.0005;14.16;0.3;8496;50000
100005206;WIRE ROPE CLIP DIN741 M16 (BOX 20);MRO Supply;BOX;Low;C;Y;Local;IDR;8;4;93987;93987;0.0005;46.99;0.3;28196;50000
100005207;WELDING ROD E7018 3.2MM - 5KG;MRO Supply;KG;Low;C;Y;Local;IDR;6;8;64484;64484;0.0005;32.24;0.3;19345;50000
100005208;GRINDING DISC 125MM x 6MM (BOX 25);MRO Supply;BOX;Low;C;X;Local;IDR;4;2;78916;78916;0.0005;39.46;0.3;23675;50000
100006301;ENGINE OIL SAE 15W40 API CI-4 - 209L DRUM;Consumable;L;Medium;A;Y;Local;IDR;8;1;33864;33864;0.0005;16.93;0.3;10159;50000
100006302;HYDRAULIC OIL ISO VG46 - 209L DRUM;Consumable;L;Medium;A;Y;Local;IDR;8;1;28284;28284;0.0005;14.14;0.3;8485;50000
100006303;GEAR OIL SAE 80W90 EP - 20L PAIL;Consumable;L;Medium;B;Y;Local;IDR;8;60;34973;34973;0.0005;17.49;0.3;10492;50000
100006304;GREASE LITHIUM EP2 - 20KG PAIL;Consumable;KG;Medium;B;X;Local;IDR;8;56;50646;50646;0.0005;25.32;0.3;15194;50000
100006305;COOLANT CONCENTRATE EG 50% - 20L;Consumable;L;Medium;B;X;Local;IDR;11;49;41177;41177;0.0005;20.59;0.3;12353;50000
100006306;BRAKE FLUID DOT4 - 1L BOTTLE;Consumable;L;Low;C;X;Local;IDR;6;12;38659;38659;0.0005;19.33;0.3;11598;50000
100006307;ANTI-SEIZE COMPOUND MOLYKOTE - 500G;Consumable;EA;Low;C;Y;Import;USD;15;46;181372;181372;0.0005;90.69;0.3;54412;50000
100006308;THREAD SEALANT LOCTITE 577 - 250ML;Consumable;EA;Low;C;Y;Import;USD;15;14;244999;244999;0.0005;122.5;0.3;73500;50000
100007401;SAFETY HELMET FULL BRIM HDPE - WHITE;Consumable;EA;Low;C;X;Local;IDR;6;21;84998;84998;0.0005;42.5;0.3;25499;50000
100007402;SAFETY SHOES S3 SRC COMPOSITE TOE;Consumable;EA;Low;C;X;Local;IDR;8;14;425252;425252;0.0005;212.63;0.3;127576;50000
100007403;GLOVES LEATHER PALM LINED - PAIR;Consumable;PR;Low;C;X;Local;IDR;4;12;32447;32447;0.0005;16.22;0.3;9734;50000
100007404;EAR PLUG DISPOSABLE FOAM 33dB (BOX 200);Consumable;BOX;Low;C;X;Local;IDR;4;57;94755;94755;0.0005;47.38;0.3;28426;50000
100007405;SAFETY VEST HI-VIS ORANGE CLASS 2;Consumable;EA;Low;C;X;Local;IDR;4;27;64252;64252;0.0005;32.13;0.3;19276;50000
100007406;RESPIRATOR HALF FACE 3M 6200 + FILTER;Consumable;EA;Medium;C;Y;Import;USD;15;40;282685;282685;0.0005;141.34;0.3;84806;50000
100008501;CONTACTOR 3P 55KW SIEMENS 3RT2037;Spare Part;EA;Medium;B;Z;Import;USD;32;1;1813725;1813725;0.0005;906.86;0.3;544118;50000
100008502;CIRCUIT BREAKER MCCB 3P 250A SCHNEIDER;Spare Part;EA;High;B;Z;Import;USD;37;3;3138643;3138643;0.0005;1569.32;0.3;941593;50000
100008503;VFD INVERTER 22KW 380V DELTA VFD220C43A;Spare Part;EA;High;A;Z;Import;USD;47;1;18137254;18137254;0.0005;9068.63;0.3;5441176;50000
100008504;CABLE NYY 4x10MM2 - PER METER;MRO Supply;M;Low;C;Y;Local;IDR;8;3;38194;38194;0.0005;19.1;0.3;11458;50000
100008505;FUSE CARTRIDGE NH 160A GG (PKT 3);Spare Part;PKT;Medium;C;X;Local;IDR;8;5;285000;285000;0.0005;142.5;0.3;85500;50000
